29-07-2024 19:16:13.863 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 21664 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 21:55:19.612 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 17180 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 21:55:19.616 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 21:55:21.916 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 2.863 seconds (process running for 3.27)
29-07-2024 21:55:39.175 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 17980 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 21:55:39.178 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 21:55:41.325 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 2.682 seconds (process running for 3.053)
29-07-2024 21:56:06.294 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 19616 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 21:56:06.298 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 21:56:07.769 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 1.946 seconds (process running for 2.269)
29-07-2024 21:56:21.534 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 24272 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 21:56:21.539 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 21:56:22.826 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 1.745 seconds (process running for 2.076)
29-07-2024 21:58:14.671 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 12468 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 21:58:14.675 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 21:58:16.110 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 1.893 seconds (process running for 2.226)
29-07-2024 21:59:20.560 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 11052 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 21:59:20.564 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 21:59:21.926 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 1.82 seconds (process running for 2.165)
29-07-2024 21:59:47.355 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 10916 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 21:59:47.358 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 21:59:48.700 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 1.815 seconds (process running for 2.132)
29-07-2024 22:00:04.703 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 20652 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:00:04.707 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:00:06.049 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 1.83 seconds (process running for 2.158)
29-07-2024 22:01:39.713 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 6600 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:01:39.717 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:01:41.350 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 2.117 seconds (process running for 2.437)
29-07-2024 22:02:24.749 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 17884 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:02:24.754 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:02:26.104 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 1.822 seconds (process running for 2.148)
29-07-2024 22:03:24.381 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 13124 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:03:24.384 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:03:25.707 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 1.808 seconds (process running for 2.134)
29-07-2024 22:07:37.400 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 23108 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:07:37.405 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:07:41.419 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 4.635 seconds (process running for 5.131)
29-07-2024 22:08:15.250 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 13904 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:08:15.254 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:08:33.917 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 24512 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:08:33.921 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:08:36.435 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 2.906 seconds (process running for 3.214)
29-07-2024 22:11:47.934 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 12024 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:11:47.939 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:11:50.969 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.713 seconds (process running for 4.17)
29-07-2024 22:17:24.964 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 15572 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:17:24.968 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:17:27.716 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.198 seconds (process running for 3.537)
29-07-2024 22:25:36.891 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 8884 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:25:36.895 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:25:40.143 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.723 seconds (process running for 4.099)
29-07-2024 22:26:03.149 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - =============================
29-07-2024 22:38:04.149 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 23652 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:38:04.153 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:38:07.991 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 4.305 seconds (process running for 4.661)
29-07-2024 22:38:13.310 [http-nio-8080-exec-2] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - =============================
29-07-2024 22:38:28.935 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - =============================
29-07-2024 22:39:46.166 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 12048 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:39:46.170 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:39:49.186 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.502 seconds (process running for 3.847)
29-07-2024 22:39:53.256 [http-nio-8080-exec-2] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - =============================
29-07-2024 22:43:51.771 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 20200 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:43:51.775 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:43:55.889 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 4.588 seconds (process running for 4.93)
29-07-2024 22:43:59.005 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - =============================
29-07-2024 22:44:08.785 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - =============================
29-07-2024 22:50:56.600 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 15076 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:50:56.604 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:50:59.814 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.667 seconds (process running for 4.002)
29-07-2024 22:51:03.996 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:51:03.996596800
29-07-2024 22:51:12.799 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:51:12.799646
29-07-2024 22:51:27.081 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:51:27.081791300
29-07-2024 22:51:27.104 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:51:27.104775100
29-07-2024 22:52:31.741 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 2376 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:52:31.745 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:52:34.854 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.588 seconds (process running for 3.931)
29-07-2024 22:52:37.820 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:52:37.820449200
29-07-2024 22:52:42.562 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:52:42.562833600
29-07-2024 22:52:46.053 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:52:46.053145600
29-07-2024 22:52:48.864 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:52:48.864679500
29-07-2024 22:52:55.481 [http-nio-8080-exec-4] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:52:55.481989500
29-07-2024 22:52:59.180 [http-nio-8080-exec-4] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:52:59.180857200
29-07-2024 22:53:28.085 [http-nio-8080-exec-5] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:53:28.085822600
29-07-2024 22:53:29.794 [http-nio-8080-exec-5] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:53:29.794299600
29-07-2024 22:53:35.686 [http-nio-8080-exec-6] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:53:35.686210900
29-07-2024 22:54:02.731 [http-nio-8080-exec-6] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:54:02.731456800
29-07-2024 22:54:06.732 [http-nio-8080-exec-7] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:54:06.732465400
29-07-2024 22:54:44.221 [http-nio-8080-exec-7] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:54:44.221108400
29-07-2024 22:55:00.733 [http-nio-8080-exec-8] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:55:00.732791200
29-07-2024 22:55:15.107 [http-nio-8080-exec-8] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:55:15.107252300
29-07-2024 22:55:25.752 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 10476 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:55:25.756 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:55:28.831 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.538 seconds (process running for 3.878)
29-07-2024 22:55:34.676 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:55:34.676654500
29-07-2024 22:56:04.219 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:56:04.219409700
29-07-2024 22:56:30.580 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:56:30.580710100
29-07-2024 22:56:38.275 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:56:38.275142500
29-07-2024 22:57:07.304 [http-nio-8080-exec-4] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:57:07.304319300
29-07-2024 22:57:29.339 [http-nio-8080-exec-4] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:57:29.339647200
29-07-2024 22:59:39.219 [http-nio-8080-exec-7] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:59:39.219072600
29-07-2024 22:59:39.234 [http-nio-8080-exec-7] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:59:39.234065800
29-07-2024 22:59:46.319 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 20588 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 22:59:46.323 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 22:59:49.414 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.539 seconds (process running for 3.883)
29-07-2024 22:59:51.132 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T22:59:51.132373200
29-07-2024 22:59:55.066 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T22:59:55.066820800
29-07-2024 23:00:04.682 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T23:00:04.682245
29-07-2024 23:00:31.384 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T23:00:31.384349500
29-07-2024 23:00:38.790 [http-nio-8080-exec-4] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T23:00:38.790069800
29-07-2024 23:00:42.154 [http-nio-8080-exec-4] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T23:00:42.154984700
29-07-2024 23:00:43.996 [http-nio-8080-exec-5] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T23:00:43.996408400
29-07-2024 23:01:16.472 [http-nio-8080-exec-5] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T23:01:16.472149100
29-07-2024 23:03:01.932 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 5360 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 23:03:01.937 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 23:03:05.541 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 4.31 seconds (process running for 4.953)
29-07-2024 23:03:26.252 [http-nio-8080-exec-2] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T23:03:26.252872300
29-07-2024 23:03:28.202 [http-nio-8080-exec-2] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T23:03:28.202541300
29-07-2024 23:03:34.841 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T23:03:34.841645800
29-07-2024 23:04:00.440 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T23:04:00.440769500
29-07-2024 23:04:18.938 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 6792 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 23:04:18.942 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 23:04:22.022 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.532 seconds (process running for 3.876)
29-07-2024 23:04:25.148 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T23:04:25.148589100
29-07-2024 23:04:26.530 [http-nio-8080-exec-1] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T23:04:26.530489
29-07-2024 23:04:35.189 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T23:04:35.189601100
29-07-2024 23:04:54.825 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T23:04:54.825435700
29-07-2024 23:04:57.499 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 2100 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 23:04:57.504 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 23:05:00.692 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.638 seconds (process running for 3.985)
29-07-2024 23:05:02.759 [http-nio-8080-exec-2] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T23:05:02.759130800
29-07-2024 23:05:03.766 [http-nio-8080-exec-2] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T23:05:03.766360600
29-07-2024 23:05:10.210 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T23:05:10.210362700
29-07-2024 23:05:28.713 [http-nio-8080-exec-3] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T23:05:28.713631600
29-07-2024 23:05:32.686 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 12280 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 23:05:32.691 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 23:05:35.697 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.468 seconds (process running for 3.814)
29-07-2024 23:05:37.754 [http-nio-8080-exec-2] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T23:05:37.754592100
29-07-2024 23:05:43.069 [http-nio-8080-exec-2] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - END === 2024-07-29T23:05:43.069297
29-07-2024 23:08:25.079 [main] INFO  c.example.animals.AnimalsApplication.logStarting - Starting AnimalsApplication using Java 17.0.9 with PID 5868 (D:\learnByMyself\gateway\myself\animals\target\classes started by ADMIN in D:\learnByMyself\gateway\myself\animals)
29-07-2024 23:08:25.084 [main] INFO  c.example.animals.AnimalsApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
29-07-2024 23:08:28.197 [main] INFO  c.example.animals.AnimalsApplication.logStarted - Started AnimalsApplication in 3.585 seconds (process running for 3.996)
29-07-2024 23:08:34.036 [http-nio-8080-exec-2] INFO  c.e.a.s.impl.AnimalsServiceImpl.readExcel - START === 2024-07-29T23:08:34.036317400
